Index,sales id,Customer Id,First Name,Last Name,City,Quantity sold,Vendoor id ,Date ,Country,Phone 1,Phone 2,Email,Website
310,AARE,DD37Cf93aecA6Dc,Sheryl,Baxter,East Leonard,3,1101,6/22/2024,Chile,229.077.5154,397.884.0519x718,zunigavanessa@smith.info,http://www.stephenson.com/
312,AD001,1Ef7b82A4CAAD10,Preston,Lozano,East Jimmychester,4,1201,6/22/2024,Djibouti,5153435776,686-620-1820x944,vmata@colon.com,http://www.hobbs.com/
314,AD002,6F94879bDAfE5a6,Roy,Berry,Isabelborough,5,1102,6/22/2024,Antigua and Barbuda,-1199,(496)978-3969x58947,beckycarr@hogan.com,http://www.lawrence.com/
316,AD002,5Cef8BFA16c5e3c,Linda,Olsen,Bensonview,1,1103,6/22/2024,Dominican Republic,001-808-617-6467x12895,-9892,stanleyblackwell@benson.org,http://www.good-lyons.com/
318,AARE,053d585Ab6b3159,Joanna,Bender,West Priscilla,1,1401,6/22/2024,Slovakia (Slovak Republic),001-234-203-0635x76146,001-199-446-3860x3486,colinalvarado@miles.net,https://goodwin-ingram.com/
320,AD001,2d08FB17EE273F4,Aimee,Downs,Chavezborough,1,1101,6/22/2024,Bosnia and Herzegovina,(283)437-3886x88321,999-728-1637,louis27@gilbert.com,http://www.berger.net/
322,AARE,EA4d384DfDbBf77,Darren,Peck,Lake Ana,1,1104,6/22/2024,Pitcairn Islands,(496)452-6181x3291,+1-247-266-0963x4995,tgates@cantrell.com,https://www.le.com/
324,AD001,0e04AFde9f225dE,Brett,Mullen,Kimport,1,1103,6/22/2024,Bulgaria,001-583-352-7197x297,001-333-145-0369,asnow@colon.com,https://hammond-ramsey.com/
326,AARE,C2dE4dEEc489ae0,Sheryl,Meyers,Robersonstad,1,1401,6/22/2024,Cyprus,854-138-4911x5772,+1-448-910-2276x729,mariokhan@ryan-pope.org,https://www.bullock.net/
328,AD001,8C2811a503C7c5a,Michelle,Gallagher,Elaineberg,1,1101,6/22/2024,Timor-Leste,739.218.2516x459,001-054-401-0347x617,mdyer@escobar.net,https://arias.com/
330,AARE,216E205d6eBb815,Carl,Schroeder,Shannonville,1,1104,6/22/2024,Guernsey,637-854-0256x825,114.336.0784x788,kirksalas@webb.com,https://simmons-hurley.com/
332,AD001,CEDec94deE6d69B,Jenna,Dodson,East Andrea,1,1103,6/22/2024,Vietnam,(041)737-3846,+1-556-888-3485x42608,mark42@robbins.com,http://www.douglas.net/
334,AARE,e35426EbDEceaFF,Tracey,Mata,South Joannamouth,5,1401,6/22/2024,Togo,001-949-844-8787,(855)713-8773,alex56@walls.org,http://www.beck.com/
336,AARE,A08A8aF8BE9FaD4,Kristine,Cox,Jodyberg,8,1101,6/22/2024,Sri Lanka,786-284-3358x62152,+1-315-627-1796x8074,holdenmiranda@clarke.com,https://www.brandt.com/
338,AD001,6fEaA1b7cab7B6C,Faith,Lutz,Burchbury,4,1104,6/22/2024,Singapore,(781)861-7180x8306,207-185-3665,cassieparrish@blevins-chapman.net,http://stevenson.org/
340,AARE,8cad0b4CBceaeec,Miranda,Beasley,Desireeshire,4,1101,6/22/2024,Oman,540.085.3135x185,+1-600-462-6432x21881,vduncan@parks-hardy.com,http://acosta.org/
342,AD001,a5DC21AE3a21eaA,Caroline,Foley,West Adriennestad,4,1201,6/22/2024,Western Sahara,936.222.4746x9924,001-469-948-6341x359,holtgwendolyn@watson-davenport.com,http://www.benson-roth.com/
344,AARE,F8Aa9d6DfcBeeF8,Greg,Mata,Lake Leslie,4,1102,6/22/2024,Mozambique,(701)087-2415,(195)156-1861x26241,jaredjuarez@carroll.org,http://pitts-cherry.com/
346,AD001,F160f5Db3EfE973,Clifford,Jacobson,Harmonview,4,1103,6/22/2024,South Georgia and the South Sandwich Islands,001-151-330-3524x0469,(748)477-7174,joseph26@jacobson.com,https://mcconnell.com/
348,AARE,0F60FF3DdCd7aB0,Joanna,Kirk,Jamesshire,4,1401,6/22/2024,French Polynesia,(266)131-7001x711,(283)312-5579x11543,tuckerangie@salazar.net,https://www.camacho.net/
350,AD001,9F9AdB7B8A6f7F2,Maxwell,Frye,East Carly,4,1101,6/22/2024,Malta,423.262.3059,202-880-0688x7491,fgibson@drake-webb.com,http://www.roberts.com/
352,AARE,FBd0Ded4F02a742,Kiara,Houston,South Alvin,2,1104,6/22/2024,Netherlands,001-274-040-3582x10611,+1-528-175-0973x4684,blanchardbob@wallace-shannon.com,https://www.reid-potts.com/
354,AD001,2FB0FAA1d429421,Colleen,Howard,Brittanyview,3,1103,6/22/2024,Paraguay,1935085151,(947)115-7711x5488,rsingleton@ryan-cherry.com,http://paul.biz/
356,AARE,010468dAA11382c,Janet,Valenzuela,Veronicamouth,1,1401,6/22/2024,Lao People's Democratic Republic,354.259.5062x7538,500.433.2022,stefanie71@spence.com,https://moreno.biz/
358,AD001,eC1927Ca84E033e,Shane,Wilcox,Bryanville,6,1101,6/22/2024,Albania,(429)005-9030x11004,541-116-4501,mariah88@santos.com,https://www.ramos.com/
360,AARE,09D7D7C8Fe09aea,Marcus,Moody,Kaitlyntown,23,1101,6/22/2024,Panama,674-677-8623,909-277-5485x566,donnamullins@norris-barrett.org,https://www.curry.com/
362,AD001,aBdfcF2c50b0bfD,Dakota,Poole,Michealshire,5,1201,6/22/2024,Belarus,(371)987-8576x4720,071-152-1376,stacey67@fields.org,https://sanford-wilcox.biz/
364,AARE,b92EBfdF8a3f0E6,Frederick,Harper,South Marissatown,8,1102,6/22/2024,Switzerland,+1-077-121-1558x0687,264.742.7149,jacobkhan@bright.biz,https://callahan.org/
366,AD001,3B5dAAFA41AFa22,Stefanie,Fitzpatrick,Acevedoville,2,1103,6/22/2024,Saint Vincent and the Grenadines,(752)776-3286,+1-472-021-4814x85074,wterrell@clark.com,https://meyers.com/
368,AARE,EDA69ca7a6e96a2,Kent,Bradshaw,North Harold,7,1401,6/22/2024,Tanzania,+1-472-143-5037x884,126.922.6153,qjimenez@boyd.com,http://maynard-ho.com/
370,AD002,64DCcDFaB9DFd4e,Jack,Tate,West Samuel,6,1101,6/22/2024,Zimbabwe,965-108-4406x20714,046.906.1442x6784,gfigueroa@boone-zavala.com,http://www.hawkins-ramsey.com/
372,XYZ,679c6c83DD872d6,Tom,Trujillo,Cunninghamborough,6,1104,6/22/2024,Denmark,416-338-3758,(775)890-7209,tapiagreg@beard.info,http://www.daniels-klein.com/
