Index,sales id,Customer Id,First Name,Last Name,City,Quantity sold,Vendoor id ,Date ,Country,Phone 1,Phone 2,Email,Website
310,AARE,DD37Cf93aecA6Dc,Sheryl,Baxter,East Leonard,3,1401,6/22/2024,Chile,229.077.5154,397.884.0519x718,zunigavanessa@smith.info,http://www.stephenson.com/
312,AD001,1Ef7b82A4CAAD10,Preston,Lozano,East Jimmychester,4,1101,6/22/2024,Djibouti,5153435776,686-620-1820x944,vmata@colon.com,http://www.hobbs.com/
314,AD002,6F94879bDAfE5a6,Roy,Berry,Isabelborough,5,1101,6/22/2024,Antigua and Barbuda,-1199,(496)978-3969x58947,beckycarr@hogan.com,http://www.lawrence.com/
316,AD002,5Cef8BFA16c5e3c,Linda,Olsen,Bensonview,1,1201,6/22/2024,Dominican Republic,001-808-617-6467x12895,-9892,stanleyblackwell@benson.org,http://www.good-lyons.com/
318,AARE,053d585Ab6b3159,Joanna,Bender,West Priscilla,1,1102,6/22/2024,Slovakia (Slovak Republic),001-234-203-0635x76146,001-199-446-3860x3486,colinalvarado@miles.net,https://goodwin-ingram.com/
320,AD001,2d08FB17EE273F4,Aimee,Downs,Chavezborough,1,1103,6/22/2024,Bosnia and Herzegovina,(283)437-3886x88321,999-728-1637,louis27@gilbert.com,http://www.berger.net/
322,AARE,EA4d384DfDbBf77,Darren,Peck,Lake Ana,1,1401,6/22/2024,Pitcairn Islands,(496)452-6181x3291,+1-247-266-0963x4995,tgates@cantrell.com,https://www.le.com/
324,AD001,0e04AFde9f225dE,Brett,Mullen,Kimport,1,1101,6/22/2024,Bulgaria,001-583-352-7197x297,001-333-145-0369,asnow@colon.com,https://hammond-ramsey.com/
326,AARE,C2dE4dEEc489ae0,Sheryl,Meyers,Robersonstad,1,1104,6/22/2024,Cyprus,854-138-4911x5772,+1-448-910-2276x729,mariokhan@ryan-pope.org,https://www.bullock.net/
328,AD001,8C2811a503C7c5a,Michelle,Gallagher,Elaineberg,1,1103,6/22/2024,Timor-Leste,739.218.2516x459,001-054-401-0347x617,mdyer@escobar.net,https://arias.com/
515,AARE,CC68FD1D3Bbbf22,Riley,Good,Erikaville,2,1401,6/22/2024,Canada,6977745822,855-436-7641,alex06@galloway.com,http://conway.org/
516,AD001,CBCd2Ac8E3eBDF9,Alexandria,Buck,Nicolasfort,2,1101,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
517,AARE,Ef859092FbEcC07,Richard,Roth,New Jasmineshire,3,1101,6/22/2024,Morocco,581-440-6539,9857827463,aharper@maddox-townsend.org,https://www.brooks.com/
518,AD001,F560f2d3cDFb618,Candice,Keller,East Summerstad,2,1201,6/22/2024,Zimbabwe,001-927-965-8550x92406,001-243-038-4271x53076,buckleycory@odonnell.net,https://www.lucero.com/
519,AD001,A3F76Be153Df4a3,Anita,Benson,Skinnerport,2,1102,6/22/2024,Russian Federation,874.617.5668x69878,(399)820-6418x0071,angie04@oconnell.com,http://oconnor.com/
520,AARE,D01Af0AF7cBbFeA,Regina,Stein,Raystad,2,1103,6/22/2024,Solomon Islands,001-469-848-0724x4407,001-085-360-4426x00357,zrosario@rojas-hardin.net,http://www.johnston.info/
521,AD001,d40e89dCade7b2F,Debra,Riddle,Colinhaven,3,1101,6/22/2024,United States Virgin Islands,+1-768-182-6014x14336,(303)961-4491,shieldskerry@robles.com,http://kaiser.info/
522,AARE,BF6a1f9bd1bf8DE,Brittany,Zuniga,West Reginald,4,1201,6/22/2024,Kyrgyz Republic,(050)136-9025,001-480-851-2496x0157,mchandler@cochran-huerta.org,http://www.boyle.com/
